layer,num_samples,feat_dim,full_rank,stable_rank,frob_norm,spectral_norm,dim_30,dim_30_frac,dim_50,dim_50_frac,dim_70,dim_70_frac,dim_90,dim_90_frac,dim_95,dim_95_frac,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy
base_model.model.backbone.stages.2.blocks.13.ffn.layers.1,640,1,1,1.0000000114070946,0.10058599768331264,0.10058599710464478,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.14.attn.w_msa.proj,2560,1,1,1.0000000466218861,1.0647884855531988,1.0647884607315063,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.14.ffn.layers.0.0,640,1,1,0.9999999538763877,33.79573362612691,33.79573440551758,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.14.ffn.layers.0.0.base_layer,640,1,1,0.9999999691157845,39.54702316250396,39.54702377319336,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.14.ffn.layers.0.0.lora_A.default,640,1,1,1.0000000152214281,191.6821914002446,191.68218994140625,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.14.ffn.layers.0.0.lora_B.default,640,1,1,0.999999974743637,3.30944438569812,3.3094444274902344,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.14.ffn.layers.1,640,1,1,0.9999999660990798,0.09834325892438246,0.09834326058626175,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.15.attn.w_msa.proj,2560,1,1,1.0000000155690913,2.3357627573645843,2.3357627391815186,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.15.ffn.layers.0.0,640,1,1,1.0000000357972088,38.85894463472985,38.858943939208984,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.15.ffn.layers.0.0.base_layer,640,1,1,1.0000000056998266,45.06135953393856,45.06135940551758,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.15.ffn.layers.0.0.lora_A.default,640,1,1,1.000000030515395,223.64584691817998,223.64584350585938,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.15.ffn.layers.0.0.lora_B.default,640,1,1,1.0000000071249597,3.840431703897655,3.8404316902160645,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.15.ffn.layers.1,640,1,1,1.0000000534423479,0.35455895417778976,0.35455894470214844,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.16.attn.w_msa.proj,2560,1,1,1.0000000125389459,2.0124275810527776,2.012427568435669,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.16.ffn.layers.0.0,640,1,1,0.999999988164657,32.329257773773975,32.32925796508789,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
base_model.model.backbone.stages.2.blocks.16.ffn.layers.0.0.base_layer,640,1,1,0.9999999668845256,36.20323121207985,36.20323181152344,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,,,,,
