layer,weight_shape,feature_shape,num_samples,fro_change,relative_change,feat_dim,num_eigs,full_rank,stable_rank,participation_ratio,effective_rank,dim_30,dim_50,dim_70,dim_90,dim_95,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy,top30_frac,top50_frac,top70_frac,top90_frac
backbone.stages.2.blocks.14.attn,,"(320, 1408)",320,1158.498046875,0.32186663150787354,1408,320,320,3.4135527798130147,10.152942821580837,42.92996229188195,2,7,22,89,139,0.4330668985859099,0.5413727998884118,0.6506355495100472,0.7597423617179085,0.8583940718798405,0.00625,0.021875,0.06875,0.278125
backbone.stages.2.blocks.14.ffn,,"(320, 1408)",320,288.6623229980469,0.3699183464050293,1408,320,320,4.949125534865145,15.754601586083716,49.320568347270374,2,7,23,83,130,0.41633904627782614,0.5247023251691769,0.6396331076226927,0.7597093991010406,0.8665569682085613,0.00625,0.021875,0.071875,0.259375
backbone.stages.2.blocks.15,,"(320, 1408)",320,747.6832275390625,0.6265459656715393,1408,320,320,6.461780512013912,21.56784567441808,64.93717854617134,3,10,30,107,160,0.3522772667653768,0.46688970566130555,0.5870040850434576,0.7116352728768716,0.8252958955865339,0.009375,0.03125,0.09375,0.334375
backbone.stages.2.blocks.15.attn,,"(320, 1408)",320,1657.7554931640625,0.212284117937088,1408,320,320,2.0914752442078655,4.2251648346662956,19.64821535220172,1,2,10,64,113,0.59722382824577,0.6752774703086042,0.7547675142449298,0.8305139971316458,0.900239548954437,0.003125,0.00625,0.03125,0.2
backbone.stages.2.blocks.15.ffn,,"(320, 1408)",320,390.655029296875,0.4287349283695221,1408,320,320,2.799991564043567,7.113919763768282,29.075676292207756,1,4,15,62,104,0.5068679047197082,0.6147719437022985,0.7178097573580722,0.8197890300982307,0.904588404487816,0.003125,0.0125,0.046875,0.19375
backbone.stages.2.blocks.16,,"(320, 1408)",320,1661.016357421875,0.6387991905212402,1408,320,320,1.8332135685171198,3.2992024136917744,15.083577515786603,1,1,8,57,109,0.6399225649124235,0.7039315615397279,0.7762171301159725,0.8479403889924577,0.9100746791165781,0.003125,0.003125,0.025,0.178125
backbone.stages.2.blocks.16.attn,,"(320, 1408)",320,2330.15185546875,0.45441389083862305,1408,320,320,3.04013082316682,7.977569069458333,30.370938817027028,1,4,14,64,113,0.5120723324198014,0.6230559003146682,0.7278033032579918,0.8234927590716281,0.9002512184448924,0.003125,0.0125,0.04375,0.2
backbone.stages.2.blocks.16.ffn,,"(320, 1408)",320,742.4596557617188,0.6051061749458313,1408,320,320,2.060910153426109,4.047220738507668,16.529535735615024,1,2,8,46,85,0.627319361289617,0.7014984948007144,0.782924670866255,0.863404649112108,0.9296932022182479,0.003125,0.00625,0.025,0.14375
backbone.stages.2.blocks.17,,"(320, 1408)",320,139.377685546875,0.7655688524246216,1408,320,320,8.757580626934901,34.18114130378726,80.07978258407488,6,15,35,103,153,0.26296701755009555,0.3771356868010727,0.5254744298194709,0.6856857275568977,0.8251389006004367,0.01875,0.046875,0.109375,0.321875
backbone.stages.2.blocks.17.attn,,"(320, 1408)",320,4179.09375,0.43204465508461,1408,320,320,2.123823813722803,4.2759475208544275,16.714793272087892,1,2,8,42,84,0.6235188166244774,0.7137040636083941,0.8015917505976978,0.8767031596130799,0.9320338886701619,0.003125,0.00625,0.025,0.13125
backbone.stages.2.blocks.17.ffn,,"(320, 1408)",320,999.2305297851562,0.6070478558540344,1408,320,320,2.0681333153331156,4.064492980888491,16.522898392487573,1,2,8,46,89,0.6342418901845032,0.7056465841573832,0.7872147078771687,0.8647686362917345,0.9270089640494442,0.003125,0.00625,0.025,0.14375
backbone.stages.2.blocks.2,,"(320, 1408)",320,394.3780822753906,0.5950979590415955,1408,320,320,7.5170542686203685,21.248084233859426,48.93317266282061,3,8,18,68,115,0.35618940217996065,0.510995906049872,0.6825432897757836,0.8038680941650547,0.8943428451616549,0.009375,0.025,0.05625,0.2125
