layer,weight_shape,feature_shape,num_samples,fro_change,relative_change,feat_dim,num_eigs,full_rank,stable_rank,participation_ratio,effective_rank,dim_30,dim_50,dim_70,dim_90,dim_95,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy,top30_frac,top50_frac,top70_frac,top90_frac
base_model.model.backbone.stages.2.blocks.12.attn,,"(1280, 1408)",1280,1374.9385986328125,0.2544443607330322,1408,1280,1280,2.8732446918790284,7.802041274435409,50.703857415071795,1,7,32,149,243,0.45215095566812435,0.523617598018334,0.6100098018484579,0.7008326937232626,0.7943073618055242,0.00078125,0.00546875,0.025,0.11640625
base_model.model.backbone.stages.2.blocks.12.ffn,,"(1280, 1408)",1280,832.0472412109375,0.45553267002105713,1408,1280,1280,5.169147921728551,18.534096926860794,75.56446627894186,3,10,33,156,267,0.36824354758873423,0.4774132465217881,0.5899903028983355,0.6969359115541379,0.7940609980453185,0.00234375,0.0078125,0.02578125,0.121875
base_model.model.backbone.stages.2.blocks.12,,"(1280, 1408)",1280,717.299560546875,0.8085232973098755,1408,1280,1280,9.238315320601087,39.36059279160692,130.39926944243422,6,19,57,217,349,0.2601543843655588,0.3546628499242772,0.4736172650707491,0.5989617615232328,0.7212603955972232,0.0046875,0.01484375,0.04453125,0.16953125
base_model.model.backbone.stages.2.blocks.13.attn,,"(1280, 1408)",1280,3184.28173828125,0.2920093536376953,1408,1280,1280,2.3749007751809232,5.375362340362504,29.94791951236121,1,3,15,104,192,0.5443858681432516,0.6274908411947614,0.7091088349818372,0.7842329951908095,0.8541988204610617,0.00078125,0.00234375,0.01171875,0.08125
base_model.model.backbone.stages.2.blocks.13.ffn,,"(1280, 1408)",1280,733.57666015625,0.4458703398704529,1408,1280,1280,4.913485466137411,16.39405094834727,59.701578740543034,3,8,23,115,213,0.39411853984775336,0.5080421123688187,0.6382883702364155,0.7516370158545412,0.8401280775199673,0.00234375,0.00625,0.01796875,0.08984375
base_model.model.backbone.stages.2.blocks.13,,"(1280, 1408)",1280,890.002197265625,0.8312059640884399,1408,1280,1280,9.986750141758462,40.41975644380827,126.46291074970404,6,18,53,211,342,0.2545843880437051,0.3609333342789822,0.4846022322626067,0.6127935344308406,0.7320933209445168,0.0046875,0.0140625,0.04140625,0.16484375
base_model.model.backbone.stages.2.blocks.14.attn,,"(1280, 1408)",1280,2596.448486328125,0.357631653547287,1408,1280,1280,3.3524065913541516,10.149997524657161,56.802303183350894,2,8,31,142,237,0.42079348446223896,0.5124307440726744,0.6071395706753373,0.707957580603837,0.8041508307050292,0.0015625,0.00625,0.02421875,0.1109375
base_model.model.backbone.stages.2.blocks.14.ffn,,"(1280, 1408)",1280,754.1407470703125,0.4770561158657074,1408,1280,1280,4.8501098680025745,16.940262919256806,61.979030707081115,3,9,26,110,198,0.3722662071478067,0.48430320569294677,0.612493526448123,0.7434280897986115,0.8420357720318999,0.00234375,0.00703125,0.0203125,0.0859375
base_model.model.backbone.stages.2.blocks.14,,"(1280, 1408)",1280,1113.72900390625,0.7424694299697876,1408,1280,1280,10.607874906090203,41.1018225567278,123.86817598992785,6,17,50,206,338,0.24832529449749735,0.36250072982597925,0.4886403095566121,0.6220559880523197,0.7411774895631299,0.0046875,0.01328125,0.0390625,0.1609375
base_model.model.backbone.stages.2.blocks.15.attn,,"(1280, 1408)",1280,4498.09375,0.28968778252601624,1408,1280,1280,2.1316611799569025,4.433796590948963,26.209843651220414,1,2,16,100,185,0.5617081167494226,0.6291513523320958,0.7052833370543052,0.7829622768608543,0.8573797215472665,0.00078125,0.0015625,0.0125,0.078125
