layer,weight_shape,feature_shape,feat_dim,num_samples,fro_norm,rel_change,dim_90,dim_95,stable_rank,participation_ratio,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy,dim_90_frac,weight_shape_parsed,feature_shape_parsed
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0.0,"(1408, 352)","(1280, 1408)",1408,1280,90.36852264404295,0.0509480169472768,2,2,1.3653557300567627,1.687530755996704,0.9998234510421752,1.0000001192092896,1.0000001192092896,1.0000001192092896,1.0000001192092896,0.0014204545454545,"(1408, 352)","(1280, 1408)"
base_model.model.backbone.stages.0.blocks.0.ffn.layers.0.0.base_layer,"(1408, 352)","(1280, 1408)",1408,1280,0.0,0.0,1280,1280,0.0,,0.0,0.0,0.0,0.0,0.0,0.9090909090909092,"(1408, 352)","(1280, 1408)"
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.0,"(1408, 352)","(1280, 1408)",1408,1280,232.25299072265625,0.1224680201027071,4,6,1.3961817026138306,1.8712894916534424,0.9212979078292848,0.9675148129463196,0.9897180199623108,0.99714857339859,0.9992817044258118,0.002840909090909,"(1408, 352)","(1280, 1408)"
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.0.base_layer,"(1408, 352)","(1280, 1408)",1408,1280,214.57757568359372,0.1131476962713876,3,5,1.357384204864502,1.7735830545425415,0.9410808682441713,0.9743636250495912,0.9903563857078552,0.9972941875457764,0.9993050694465636,0.0021306818181818,"(1408, 352)","(1280, 1408)"
base_model.model.backbone.stages.2.blocks.0.attn.w_msa.proj,"(1408, 1408)","(5120, 1408)",1408,5120,1865.619384765625,0.1712587637704867,54,94,5.3622727394104,14.79466152191162,0.4459254145622253,0.5743641257286072,0.7173848152160645,0.8353205323219299,0.9188538789749146,0.0383522727272727,"(1408, 1408)","(5120, 1408)"
base_model.model.backbone.stages.2.blocks.1.attn.w_msa.proj,"(1408, 1408)","(5120, 1408)",1408,5120,2897.227294921875,0.2226524427287908,70,121,5.732182025909424,17.88494110107422,0.3822504878044128,0.5246267318725586,0.6791236400604248,0.8013378977775574,0.8914521932601929,0.049715909090909,"(1408, 1408)","(5120, 1408)"
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.proj,"(1408, 1408)","(5120, 1408)",1408,5120,7577.22607421875,0.5950609070310261,220,329,10.39909839630127,47.54412841796875,0.2220341861248016,0.3212456703186035,0.4416561424732208,0.561862587928772,0.6876055598258972,0.15625,"(1408, 1408)","(5120, 1408)"
base_model.model.backbone.stages.2.blocks.11.attn.w_msa.proj,"(1408, 1408)","(5120, 1408)",1408,5120,10372.666015625,0.4419980844659308,160,257,6.606090068817139,25.510412216186523,0.3136844038963318,0.4344948232173919,0.5565871596336365,0.6654511094093323,0.773244321346283,0.1136363636363636,"(1408, 1408)","(5120, 1408)"
base_model.model.backbone.stages.2.blocks.12.attn.w_msa.proj,"(1408, 1408)","(5120, 1408)",1408,5120,2835.8701171875,0.2656492777214214,206,324,2.645088195800781,6.802359104156494,0.4509263932704925,0.5063005685806274,0.5746053457260132,0.6538438200950623,0.7434152364730835,0.1463068181818181,"(1408, 1408)","(5120, 1408)"
base_model.model.backbone.stages.2.blocks.13.attn.w_msa.proj,"(1408, 1408)","(5120, 1408)",1408,5120,5619.30029296875,0.2737277491922074,167,278,2.7828543186187744,7.327604293823242,0.4663711190223694,0.5471183061599731,0.6279327869415283,0.7090560793876648,0.7905300855636597,0.1186079545454545,"(1408, 1408)","(5120, 1408)"
base_model.model.backbone.stages.2.blocks.14.attn.w_msa.proj,"(1408, 1408)","(5120, 1408)",1408,5120,5077.42236328125,0.358123834042287,189,307,2.748081922531128,7.259806156158447,0.4502088725566864,0.5177716016769409,0.5946382284164429,0.6785973906517029,0.7673185467720032,0.1342329545454545,"(1408, 1408)","(5120, 1408)"
base_model.model.backbone.stages.2.blocks.15.attn.w_msa.proj,"(1408, 1408)","(5120, 1408)",1408,5120,7914.8798828125,0.2938032050967417,148,254,2.388491630554199,5.532083511352539,0.5110207796096802,0.575386106967926,0.648277759552002,0.7262003421783447,0.8085713982582092,0.1051136363636363,"(1408, 1408)","(5120, 1408)"
base_model.model.backbone.stages.2.blocks.16.attn.w_msa.proj,"(1408, 1408)","(5120, 1408)",1408,5120,6904.46240234375,0.3397095413714019,164,274,3.3433845043182373,9.512020111083984,0.4602793753147125,0.5295230746269226,0.6108376383781433,0.7007275223731995,0.7907700538635254,0.1164772727272727,"(1408, 1408)","(5120, 1408)"
base_model.model.backbone.stages.2.blocks.17.attn.w_msa.proj,"(1408, 1408)","(5120, 1408)",1408,5120,10788.7685546875,0.3115768213470006,109,204,2.0282466411590576,4.008386135101318,0.5955221056938171,0.648109495639801,0.7109972238540649,0.7809457182884216,0.8507382273674011,0.0774147727272727,"(1408, 1408)","(5120, 1408)"
base_model.model.backbone.stages.2.blocks.2.attn.w_msa.proj,"(1408, 1408)","(5120, 1408)",1408,5120,3635.75732421875,0.3513764499291115,104,172,7.642999649047852,25.80586242675781,0.322397768497467,0.4595954716205597,0.6020037531852722,0.7296927571296692,0.8386191725730896,0.0738636363636363,"(1408, 1408)","(5120, 1408)"
base_model.model.backbone.stages.2.blocks.3.attn.w_msa.proj,"(1408, 1408)","(5120, 1408)",1408,5120,4642.02294921875,0.4010468541012957,103,172,7.932908058166504,24.73343849182129,0.3329606056213379,0.4657211303710937,0.6047269105911255,0.7320725917816162,0.8403977155685425,0.073153409090909,"(1408, 1408)","(5120, 1408)"
base_model.model.backbone.stages.2.blocks.4.attn.w_msa.proj,"(1408, 1408)","(5120, 1408)",1408,5120,5708.5,0.5796924037488633,139,219,11.048673629760742,33.432716369628906,0.2846706211566925,0.4253228604793548,0.552741289138794,0.670744776725769,0.787226140499115,0.0987215909090909,"(1408, 1408)","(5120, 1408)"
base_model.model.backbone.stages.2.blocks.5.attn.w_msa.proj,"(1408, 1408)","(5120, 1408)",1408,5120,8522.353515625,0.5911267151323979,117,189,8.330999374389648,24.566465377807617,0.3593708574771881,0.4795781373977661,0.5907363295555115,0.7060702443122864,0.816922664642334,0.0830965909090909,"(1408, 1408)","(5120, 1408)"
base_model.model.backbone.stages.2.blocks.6.attn.w_msa.proj,"(1408, 1408)","(5120, 1408)",1408,5120,2062.571533203125,0.3830626958662039,222,318,11.50965976715088,52.73707580566406,0.2186456471681594,0.3073155283927917,0.4115225076675415,0.5285492539405823,0.6613117456436157,0.1576704545454545,"(1408, 1408)","(5120, 1408)"
