layer,group,shape,full_rank,stable_rank,frob_norm,spectral_norm,dim_30,dim_30_frac,dim_50,dim_50_frac,dim_70,dim_70_frac,dim_90,dim_90_frac,dim_95,dim_95_frac,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.qkv.base_layer,qkv,4224x1408,1408,73.90731346937744,102.90737928320544,11.97023868560791,52,0.036931818181818184,131,0.09303977272727272,277,0.19673295454545456,617,0.4382102272727273,815,0.5788352272727273,0.04505620896816254,0.07985434681177139,0.136345773935318,0.22135530412197113,0.3404723107814789
base_model.model.backbone.stages.2.blocks.8.attn.w_msa.proj,proj,1408x1408,1408,23.15814275576785,59.176042070065186,12.296854972839355,66,0.046875,147,0.10440340909090909,272,0.19318181818181818,522,0.37073863636363635,663,0.4708806818181818,0.06391500681638718,0.08572739362716675,0.12428056448698044,0.18978248536586761,0.2967160642147064
base_model.model.backbone.stages.2.blocks.8.ffn.layers.0.0.base_layer,ffn,5632x1408,1408,13.78724110096946,120.48926138612934,32.449623107910156,62,0.04403409090909091,164,0.11647727272727272,339,0.24076704545454544,713,0.5063920454545454,916,0.6505681818181818,0.09235672652721405,0.11418997496366501,0.15156957507133484,0.21335917711257935,0.30708518624305725
base_model.model.backbone.stages.2.blocks.8.ffn.layers.1,ffn,1408x5632,1408,98.6088095437094,121.08751596856507,12.193868637084961,110,0.078125,253,0.1796875,469,0.3330965909090909,863,0.6129261363636364,1046,0.7428977272727273,0.032820481806993484,0.053016141057014465,0.0858176127076149,0.13730767369270325,0.21463918685913086
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.cpb_mlp.2,other,32x512,32,2.6590359918979916,9.553052835687936,5.858414173126221,1,0.03125,2,0.0625,3,0.09375,5,0.15625,7,0.21875,0.8609798550605774,0.9804632663726807,0.9984314441680908,1.0,nan
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.qkv.base_layer,qkv,4224x1408,1408,67.6216028603443,103.13970065674275,12.542471885681152,53,0.037642045454545456,134,0.09517045454545454,286,0.203125,635,0.4509943181818182,834,0.5923295454545454,0.04642196372151375,0.08186078071594238,0.13768087327480316,0.2209911048412323,0.3362138569355011
base_model.model.backbone.stages.2.blocks.9.attn.w_msa.proj,proj,1408x1408,1408,20.147479271566837,58.87199766760934,13.115909576416016,54,0.03835227272727273,127,0.09019886363636363,244,0.17329545454545456,489,0.34730113636363635,630,0.4474431818181818,0.0743183121085167,0.09989859908819199,0.14510777592658997,0.2196134328842163,0.3349977135658264
base_model.model.backbone.stages.2.blocks.9.ffn.layers.0.0.base_layer,ffn,5632x1408,1408,14.450096901791014,120.72637417679287,31.758996963500977,70,0.04971590909090909,184,0.13068181818181818,372,0.26420454545454547,754,0.5355113636363636,951,0.6754261363636364,0.08828050643205643,0.10892330855131149,0.1439265012741089,0.20066651701927185,0.28678303956985474
base_model.model.backbone.stages.2.blocks.9.ffn.layers.1,ffn,1408x5632,1408,75.69989571180705,121.83895300251886,14.003561973571777,104,0.07386363636363637,247,0.17542613636363635,466,0.3309659090909091,864,0.6136363636363636,1047,0.7436079545454546,0.036550745368003845,0.05761229619383812,0.09177862852811813,0.1444917768239975,0.22356420755386353
base_model.model.backbone.stages.2.blocks.10.attn.w_msa.cpb_mlp.2,other,32x512,32,1.9036121159891535,9.270258807835832,6.718968868255615,1,0.03125,1,0.03125,2,0.0625,4,0.125,5,0.15625,0.9171477556228638,0.9910657405853271,0.998633861541748,0.9999999403953552,nan
