layer,weight_shape,feature_shape,feat_dim,num_samples,fro_norm,rel_change,dim_90,dim_95,stable_rank,participation_ratio,top4_energy,top8_energy,top16_energy,top32_energy,top64_energy,dim_90_frac
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.attn_drop,,"(62720, 8)",8,62720,1.4062354125599086e-07,1.2705447658160884e-08,8,8,0.01970287226140499,7.725315570831299,0.011063983663916588,0.019388064742088318,,,,1.0
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.proj,"(352, 352)","(62720, 352)",352,62720,802.39892578125,0.15829524888752058,5,10,1.3751723766326904,1.8505939245224,0.8942991495132446,0.9417961835861206,0.9684410691261292,0.9857379198074341,0.9950352907180786,0.014204545454545454
base_model.model.backbone.stages.0.blocks.1.attn.w_msa.proj_drop,,"(62720, 352)",352,62720,802.39892578125,0.15829524888752058,5,10,1.3751723766326904,1.8505939245224,0.8942991495132446,0.9417961835861206,0.9684410691261292,0.9857379198074341,0.9950352907180786,0.014204545454545454
base_model.model.backbone.stages.0.blocks.1.attn.w_msa,,"(62720, 352)",352,62720,802.39892578125,0.15829524888752058,5,10,1.3751723766326904,1.8505939245224,0.8942991495132446,0.9417961835861206,0.9684410691261292,0.9857379198074341,0.9950352907180786,0.014204545454545454
base_model.model.backbone.stages.0.blocks.1.attn.drop,,"(1280, 352)",352,1280,101.70477294921875,0.1500919603529683,3,6,1.377221703529358,1.833405613899231,0.9293801188468933,0.9659515023231506,0.9859492182731628,0.9957783818244934,0.9989573359489441,0.008522727272727272
base_model.model.backbone.stages.0.blocks.1.attn,,"(1280, 352)",352,1280,101.70477294921875,0.1500919603529683,3,6,1.377221703529358,1.833405613899231,0.9293801188468933,0.9659515023231506,0.9859492182731628,0.9957783818244934,0.9989573359489441,0.008522727272727272
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.0.base_layer,"(1408, 352)","(1280, 1408)",1408,1280,214.57757568359375,0.11314769627138765,3,5,1.357384204864502,1.7735830545425415,0.9410808682441711,0.9743636250495911,0.9903563857078552,0.9972941875457764,0.9993050694465637,0.002130681818181818
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.0.lora_dropout.default,,"(1280, 352)",352,1280,89.36274719238281,0.19934912501848276,4,7,1.3892897367477417,1.8630809783935547,0.9234625697135925,0.9617303609848022,0.9830278158187866,0.9942060708999634,0.9982516765594482,0.011363636363636364
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.0.lora_A.default,"(8, 352)","(1280, 8)",8,1280,103.00740814208984,3.0897732945830727,3,4,1.9124870300292969,2.7811038494110107,0.9533131718635559,0.9999999403953552,,,,0.375
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.0.lora_B.default,"(1408, 8)","(1280, 1408)",1408,1280,37.91892623901367,37918926239013.67,2,3,1.286417007446289,1.5910704135894775,0.9924529194831848,1.0,1.0,1.0,1.0,0.0014204545454545455
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.0,"(1408, 352)","(1280, 1408)",1408,1280,232.25299072265625,0.12246802010270715,4,6,1.3961817026138306,1.8712894916534424,0.9212979078292847,0.9675148129463196,0.9897180199623108,0.9971485733985901,0.9992817044258118,0.002840909090909091
base_model.model.backbone.stages.0.blocks.1.ffn.activate,,"(1280, 1408)",1408,1280,40.60305404663086,0.32747928519141983,13,26,2.153597593307495,3.8218789100646973,0.7656535506248474,0.8504365682601929,0.9218618273735046,0.9618743062019348,0.9846866130828857,0.009232954545454546
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0.2,,"(1280, 1408)",1408,1280,40.60305404663086,0.32747928519141983,13,26,2.153597593307495,3.8218789100646973,0.7656535506248474,0.8504365682601929,0.9218618273735046,0.9618743062019348,0.9846866130828857,0.009232954545454546
base_model.model.backbone.stages.0.blocks.1.ffn.layers.0,,"(1280, 1408)",1408,1280,40.60305404663086,0.32747928519141983,13,26,2.153597593307495,3.8218789100646973,0.7656535506248474,0.8504365682601929,0.9218618273735046,0.9618743062019348,0.9846866130828857,0.009232954545454546
base_model.model.backbone.stages.0.blocks.1.ffn.layers.1,"(352, 1408)","(1280, 352)",352,1280,45.76364517211914,0.13991099606815405,4,9,1.462456226348877,2.0006890296936035,0.9082666039466858,0.9453204274177551,0.9735996723175049,0.9908799529075623,0.9975541234016418,0.011363636363636364
base_model.model.backbone.stages.0.blocks.1.ffn.layers.2,,"(1280, 352)",352,1280,45.76364517211914,0.13991099606815405,4,9,1.462456226348877,2.0006890296936035,0.9082666039466858,0.9453204274177551,0.9735996723175049,0.9908799529075623,0.9975541234016418,0.011363636363636364
base_model.model.backbone.stages.0.blocks.1.ffn.layers,,"(1280, 352)",352,1280,45.76364517211914,0.13991099606815405,4,9,1.462456226348877,2.0006890296936035,0.9082666039466858,0.9453204274177551,0.9735996723175049,0.9908799529075623,0.9975541234016418,0.011363636363636364
base_model.model.backbone.stages.0.blocks.1.ffn.dropout_layer,,"(1280, 352)",352,1280,45.76364517211914,0.13991099606815405,4,9,1.462456226348877,2.0006890296936035,0.9082666039466858,0.9453204274177551,0.9735996723175049,0.9908799529075623,0.9975541234016418,0.011363636363636364
base_model.model.backbone.stages.0.blocks.1.ffn,,"(1280, 352)",352,1280,45.76364517211914,0.13991099606815405,4,9,1.462456226348877,2.0006890296936035,0.9082666039466858,0.9453204274177551,0.9735996723175049,0.9908799529075623,0.9975541234016418,0.011363636363636364
base_model.model.backbone.stages.0.blocks.1,,"(1280, 352)",352,1280,111.82450866699219,0.25735299178566795,7,15,1.625603437423706,2.45741605758667,0.8573768734931946,0.9179428815841675,0.955722451210022,0.9820838570594788,0.9948531985282898,0.019886363636363636
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.cpb_mlp.1,,"(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.cpb_mlp.2,"(16, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.cpb_mlp,,"(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.softmax,,"(20480, 16)",16,20480,1.5617365534126293e-07,1.746074522552014e-08,16,16,0.024232132360339165,9.885618209838867,0.011394096538424492,0.016487808898091316,0.02379520982503891,,,1.0
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.attn_drop,,"(20480, 16)",16,20480,1.5617365534126293e-07,1.746074522552014e-08,16,16,0.024232132360339165,9.885618209838867,0.011394096538424492,0.016487808898091316,0.02379520982503891,,,1.0
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.proj,"(704, 704)","(20480, 704)",704,20480,612.621826171875,0.09180667620259365,24,47,2.548391103744507,5.5146002769470215,0.6435349583625793,0.7622932195663452,0.8526814579963684,0.9251695275306702,0.9665332436561584,0.03409090909090909
base_model.model.backbone.stages.1.blocks.0.attn.w_msa.proj_drop,,"(20480, 704)",704,20480,612.621826171875,0.09180667620259365,24,47,2.548391103744507,5.5146002769470215,0.6435349583625793,0.7622932195663452,0.8526814579963684,0.9251695275306702,0.9665332436561584,0.03409090909090909
base_model.model.backbone.stages.1.blocks.0.attn.w_msa,,"(20480, 704)",704,20480,612.621826171875,0.09180667620259365,24,47,2.548391103744507,5.5146002769470215,0.6435349583625793,0.7622932195663452,0.8526814579963684,0.9251695275306702,0.9665332436561584,0.03409090909090909
base_model.model.backbone.stages.1.blocks.0.attn.drop,,"(1280, 704)",704,1280,149.69454956054688,0.08958245063203843,17,28,3.1897151470184326,6.913096904754639,0.6337174773216248,0.7911953330039978,0.8971738815307617,0.9602619409561157,0.9881853461265564,0.024147727272727272
base_model.model.backbone.stages.1.blocks.0.attn,,"(1280, 704)",704,1280,149.69454956054688,0.08958245063203843,17,28,3.1897151470184326,6.913096904754639,0.6337174773216248,0.7911953330039978,0.8971738815307617,0.9602619409561157,0.9881853461265564,0.024147727272727272
base_model.model.backbone.stages.1.blocks.0.ffn.layers.0.0.base_layer,"(2816, 704)","(1280, 2816)",2816,1280,145.6324005126953,0.06203936051161565,16,27,3.640193462371826,7.671943187713623,0.6190534830093384,0.8098337054252625,0.900570809841156,0.9626240730285645,0.9870240688323975,0.005681818181818182
base_model.model.backbone.stages.1.blocks.0.ffn.layers.0.0.lora_dropout.default,,"(1280, 704)",704,1280,66.05205535888672,0.1660687221426084,18,30,2.9278547763824463,6.231852054595947,0.6516876816749573,0.8085083961486816,0.8915023803710938,0.955200731754303,0.9837222695350647,0.02556818181818182
base_model.model.backbone.stages.1.blocks.0.ffn.layers.0.0.lora_A.default,"(8, 704)","(1280, 8)",8,1280,84.99565124511719,3.0852991162673424,5,6,2.36125111579895,3.700913906097412,0.8922927975654602,0.9999999403953552,,,,0.625
base_model.model.backbone.stages.1.blocks.0.ffn.layers.0.0.lora_B.default,"(2816, 8)","(1280, 2816)",2816,1280,48.78080368041992,48780803680419.92,3,4,1.2848560810089111,1.6090444326400757,0.9773058295249939,1.0,1.0,1.0,1.0,0.001065340909090909
base_model.model.backbone.stages.1.blocks.0.ffn.layers.0.0,"(2816, 704)","(1280, 2816)",2816,1280,179.7086639404297,0.07655583887933784,16,27,3.516397476196289,7.409801959991455,0.6255732774734497,0.8105940222740173,0.9008617997169495,0.9625799655914307,0.9871668815612793,0.005681818181818182
base_model.model.backbone.stages.1.blocks.0.ffn.activate,,"(1280, 2816)",2816,1280,37.69028854370117,0.26233028539761527,38,82,4.228089332580566,11.658843040466309,0.4747889041900635,0.6389233469963074,0.7720956206321716,0.8821229934692383,0.9378163814544678,0.013494318181818182
base_model.model.backbone.stages.1.blocks.0.ffn.layers.0.2,,"(1280, 2816)",2816,1280,37.69028854370117,0.26233028539761527,38,82,4.228089332580566,11.658843040466309,0.4747889041900635,0.6389233469963074,0.7720956206321716,0.8821229934692383,0.9378163814544678,0.013494318181818182
base_model.model.backbone.stages.1.blocks.0.ffn.layers.0,,"(1280, 2816)",2816,1280,37.69028854370117,0.26233028539761527,38,82,4.228089332580566,11.658843040466309,0.4747889041900635,0.6389233469963074,0.7720956206321716,0.8821229934692383,0.9378163814544678,0.013494318181818182
base_model.model.backbone.stages.1.blocks.0.ffn.layers.1,"(704, 2816)","(1280, 704)",704,1280,78.25599670410156,0.09922865486444708,23,39,3.092653274536133,7.042213439941406,0.6103514432907104,0.7415156960487366,0.8550738096237183,0.9368088841438293,0.9740868806838989,0.032670454545454544
base_model.model.backbone.stages.1.blocks.0.ffn.layers.2,,"(1280, 704)",704,1280,78.25599670410156,0.09922865486444708,23,39,3.092653274536133,7.042213439941406,0.6103514432907104,0.7415156960487366,0.8550738096237183,0.9368088841438293,0.9740868806838989,0.032670454545454544
base_model.model.backbone.stages.1.blocks.0.ffn.layers,,"(1280, 704)",704,1280,78.25599670410156,0.09922865486444708,23,39,3.092653274536133,7.042213439941406,0.6103514432907104,0.7415156960487366,0.8550738096237183,0.9368088841438293,0.9740868806838989,0.032670454545454544
base_model.model.backbone.stages.1.blocks.0.ffn.dropout_layer,,"(1280, 704)",704,1280,78.25599670410156,0.09922865486444708,23,39,3.092653274536133,7.042213439941406,0.6103514432907104,0.7415156960487366,0.8550738096237183,0.9368088841438293,0.9740868806838989,0.032670454545454544
base_model.model.backbone.stages.1.blocks.0.ffn,,"(1280, 704)",704,1280,78.25599670410156,0.09922865486444708,23,39,3.092653274536133,7.042213439941406,0.6103514432907104,0.7415156960487366,0.8550738096237183,0.9368088841438293,0.9740868806838989,0.032670454545454544
base_model.model.backbone.stages.1.blocks.0,,"(1280, 704)",704,1280,74.09788513183594,0.20835365277570458,26,46,3.2067363262176514,7.341358661651611,0.6100221872329712,0.7269763946533203,0.8411734700202942,0.9241068363189697,0.9663490056991577,0.036931818181818184
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.cpb_mlp.0,"(512, 2)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.cpb_mlp.1,,"(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.cpb_mlp.2,"(16, 512)","(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.cpb_mlp,,"(20, 15)",15,20,0.0,0.0,15,15,0.0,,0.0,0.0,,,,1.0
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.softmax,,"(20480, 16)",16,20480,1.1468888772014907e-07,1.2822607272039115e-08,16,16,0.013127769343554974,13.537763595581055,0.005092004779726267,0.008426048792898655,0.012981610372662544,,,1.0
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.attn_drop,,"(20480, 16)",16,20480,1.1468888772014907e-07,1.2822607272039115e-08,16,16,0.013127769343554974,13.537763595581055,0.005092004779726267,0.008426048792898655,0.012981610372662544,,,1.0
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.proj,"(704, 704)","(20480, 704)",704,20480,441.3857116699219,0.095496813332229,58,98,3.0743601322174072,7.412732124328613,0.5623064637184143,0.6612607836723328,0.7496016621589661,0.8348994851112366,0.9114673137664795,0.08238636363636363
base_model.model.backbone.stages.1.blocks.1.attn.w_msa.proj_drop,,"(20480, 704)",704,20480,441.3857116699219,0.095496813332229,58,98,3.0743601322174072,7.412732124328613,0.5623064637184143,0.6612607836723328,0.7496016621589661,0.8348994851112366,0.9114673137664795,0.08238636363636363
base_model.model.backbone.stages.1.blocks.1.attn.w_msa,,"(20480, 704)",704,20480,441.3857116699219,0.095496813332229,58,98,3.0743601322174072,7.412732124328613,0.5623064637184143,0.6612607836723328,0.7496016621589661,0.8348994851112366,0.9114673137664795,0.08238636363636363
